표준 12유도에서 사지유도 수는?	6개	3개	1개	12개	0개	사지 6 + 흉부 6 = 12유도이다.	일부만 센 이웃이다.	단일 유도 이웃이다.	전체 유도 수와 혼동.	유도가 없는 것이 아니다.
안정 시 표준 12유도에서 기록된 P파가 나타내는 전기 현상은?	심방 탈분극	심실 탈분극	심실 재분극	6개	0.12–0.20초	P는 심방 탈분극이다.	QRS는 심실 탈분극 이웃이다.	T는 심실 재분극 이웃이다.	6개은(는) 같은 단원의 이웃 개념이다.	0.12–0.20초은(는) 같은 단원의 이웃 개념이다.
안정 시 표준 12유도에서 QRS 복합체가 나타내는 전기 현상은?	심실 탈분극	심방 탈분극	심방 재분극	6개	심실 재분극	QRS는 심실 탈분극이다.	P는 심방 탈분극 이웃이다.	심방 재분극은 QRS에 가려진다.	6개은(는) 같은 단원의 이웃 개념이다.	심실 재분극은(는) 같은 단원의 이웃 개념이다.
안정 시 표준 12유도에서 T파가 나타내는 전기 현상은?	심실 재분극	심방 탈분극	심실 탈분극	6개	0.12–0.20초	T는 심실 재분극이다.	P 이웃이다.	QRS 이웃이다.	6개은(는) 같은 단원의 이웃 개념이다.	0.12–0.20초은(는) 같은 단원의 이웃 개념이다.
임상생리 표준 검사 조건에서 정상 PR 간격으로 가장 적절한 것은?	0.12–0.20초	0.04–0.06초	0.20–0.28초	0.40–0.50초	1.00초	교과서 정상 PR이다.	QRS 폭에 가까운 짧은 이웃이다.	1도 차단 구간 이웃이다.	QT에 가까운 긴 이웃이다.	비생리 길이이다.
임상생리 표준 검사 조건에서 정상 QRS 폭은 보통?	0.12초 미만	0.16–0.20초	0.24초	0.40초	0.50초	넓으면 각차단 등을 의심한다.	각차단 폭 이웃이다.	더 넓은 병적 이웃이다.	비생리 길이이다.	비생리 길이이다.
성인 안정 시 심전도를 종이에 기록할 때 표준 속도는?	25 mm/s	10 mm/s	50 mm/s만 표준	100 mm/s	1 mm/s	25 mm/s가 표준이다.	느린 속도 이웃이다.	2배속은 특수 기록 이웃이다.	과속 이웃이다.	극단 저속이다.
성인 안정 시 심전도에서 1 mV 교정 펄스의 표준 감도는?	10 mm/mV	5 mm/mV	20 mm/mV	1 mm/mV	50 mm/mV	1 mV = 10 mm이다.	1/2 감도 이웃이다.	2배 감도 이웃이다.	과소 감도이다.	과대 감도이다.
임상생리 표준 검사 조건에서 V1 부착 위치로 옳은 것은?	제4늑간 오른쪽 흉골연	제4늑간 왼쪽 흉골연	제5늑간 좌쇄골중간선	오른쪽 손목	검상돌기	표준 V1이다.	V2 위치 이웃이다.	V4 위치 이웃이다.	사지 전극 이웃이다.	하단 표지 이웃이다.
임상생리 표준 검사 조건에서 V2 부착 위치로 옳은 것은?	제4늑간 왼쪽 흉골연	제4늑간 오른쪽 흉골연	제5늑간 좌쇄골중간선	왼쪽 손목	배꼽	V1의 대칭이다.	V1 이웃이다.	V4 이웃이다.	사지 전극이다.	복부는 아니다.
다음 소견에 가장 가까운 리듬은?||- P파가 각 QRS 앞에 일정||- PR이 일정||- 성인 분당 72회	정상 동리듬	심방세동	심실세동	완전 방실차단	심실빈맥	P-QRS 연결의 규칙 동리듬이다.	세동은 P 소실·불규칙 이웃이다.	심실세동은 응급 파형 이웃이다.	AV 해리는 완전차단 이웃이다.	넓은 QRS 빈맥 이웃이다.
안정 시 성인 심전도에서 서맥으로 판정하는 일반 기준은?	분당 60 미만	분당 100 초과	분당 150	분당 200	분당 40–100이 서맥 정의	60 미만을 서맥으로 본다.	100 초과는 빈맥 이웃이다.	빈맥 수치 이웃이다.	심한 빈맥 이웃이다.	정상창과 혼동.
안정 시 성인 심전도에서 빈맥으로 판정하는 일반 기준은?	분당 100 초과	분당 60 미만	분당 40	분당 20	분당 0	100 초과를 빈맥으로 본다.	서맥 이웃이다.	심한 서맥 이웃이다.	비생리 서맥이다.	무수축이다.
임상생리 표준 검사 조건에서 심방세동의 특징으로 옳은 것은?	P파가 없고 RR이 불규칙하다	정상 P와 규칙 RR	정상 동리듬	분당 60 미만	분당 100 초과	f파·불규칙 리듬이다.	동리듬 이웃이다.	정상 동리듬은(는) 같은 단원의 이웃 개념이다.	분당 60 미만은(는) 같은 단원의 이웃 개념이다.	분당 100 초과은(는) 같은 단원의 이웃 개념이다.
감시 심전도에서 심실세동 파형이 보이면 우선 조치는?	즉시 심폐소생과 제세동	경과 관찰만	분당 60 미만	분당 100 초과	P파가 없고 RR이 불규칙하다	무맥 부정맥 응급이다.	관찰만으로는 안 된다.	분당 60 미만은(는) 같은 단원의 이웃 개념이다.	분당 100 초과은(는) 같은 단원의 이웃 개념이다.	P파가 없고 RR이 불규칙하다은(는) 같은 단원의 이웃 개념이다.
흉통 환자의 12유도에서 ST 분절 상승이 시사할 수 있는 것은?	급성 심근손상 등	분당 100 초과	P파가 없고 RR이 불규칙하다	즉시 심폐소생과 제세동	뾰족한 T파	임상·효소와 함께 본다.	분당 100 초과은(는) 같은 단원의 이웃 개념이다.	P파가 없고 RR이 불규칙하다은(는) 같은 단원의 이웃 개념이다.	즉시 심폐소생과 제세동은(는) 같은 단원의 이웃 개념이다.	뾰족한 T파은(는) 같은 단원의 이웃 개념이다.
고칼륨혈증에서 흔히 배우는 ECG 소견은?	뾰족한 T파	U파	QRS가 더 좁아짐만	P파가 없고 RR이 불규칙하다	즉시 심폐소생과 제세동	peaked T가 전형이다.	U파는 저칼륨 이웃이다.	고K는 오히려 넓어질 수 있다.	P파가 없고 RR이 불규칙하다은(는) 같은 단원의 이웃 개념이다.	즉시 심폐소생과 제세동은(는) 같은 단원의 이웃 개념이다.
저칼륨혈증에서 흔히 배우는 ECG 소견은?	U파와 T 평탄	뾰족 T만	ST 상승만	즉시 심폐소생과 제세동	급성 심근손상 등	U파가 저K 표지이다.	뾰족 T는 고K 이웃이다.	ST 상승은 손상 이웃이다.	즉시 심폐소생과 제세동은(는) 같은 단원의 이웃 개념이다.	급성 심근손상 등은(는) 같은 단원의 이웃 개념이다.
임상생리 표준 검사 조건에서 우각차단의 전형 형태는?	V1에서 rSR'	급성 심근손상 등	뾰족한 T파	U파와 T 평탄	0.12초 이상으로 넓어진다	V1 rsR'이 기본이다.	급성 심근손상 등은(는) 같은 단원의 이웃 개념이다.	뾰족한 T파은(는) 같은 단원의 이웃 개념이다.	U파와 T 평탄은(는) 같은 단원의 이웃 개념이다.	0.12초 이상으로 넓어진다은(는) 같은 단원의 이웃 개념이다.
좌각차단에서 QRS는?	0.12초 이상으로 넓어진다	더 좁아진다	사라진다	P만 변한다	T만 없어진다	전도 지연으로 넓다.	좁아지지 않는다.	소실되지 않는다.	P가 주변화가 아니다.	T 변화는 이차일 수 있다.
다음 소견에 가장 가까운 것은?||- 조기의 넓은 기이 QRS||- 앞선 P가 없음||- 보상성 휴지	심실조기수축(PVC)	심방조기수축(PAC)	1도 방실차단	완전 방실차단	동서맥	PVC 형태이다.	PAC는 조기 P 이웃이다.	1도는 PR만 연장이다.	완전차단은 해리이다.	서맥은 빈도 이웃이다.
