성인 말초혈액·응고 검사에서 MCV가 큰 빈혈로 우선 가까운 것은?	거대적아구성 빈혈	철결핍빈혈	지중해빈혈	만성질환빈혈만	급성실혈만	MCV↑는 대구성이다.	철결핍은 소구성 이웃이다.	지중해는 소구성 이웃이다.	AOCD는 정~소구성 이웃이다.	급성실혈은 정구성 이웃이다.
성인 말초혈액·응고 검사에서 철결핍빈혈의 전형 지수는?	소구성 저색소성	대구성	정구성만	거대적아구성 빈혈	적혈구 크기 불균일	MCV↓ MCHC↓이다.	대구성은 B12/엽산 이웃이다.	정구성은 실혈·AOCD 이웃이다.	거대적아구성 빈혈은(는) 같은 단원의 이웃 개념이다.	적혈구 크기 불균일은(는) 같은 단원의 이웃 개념이다.
CBC에서 RDW가 참고범위보다 크면 의미하는 것은?	적혈구 크기 불균일	거대적아구성 빈혈	혈소판만 이상	백혈구만 이상	소구성 저색소성	anisocytosis이다.	거대적아구성 빈혈은(는) 같은 단원의 이웃 개념이다.	혈소판 지수 이웃이다.	백혈구 이웃이다.	소구성 저색소성은(는) 같은 단원의 이웃 개념이다.
빈혈 환자에서 망상적혈구가 오르면 우선 해석은?	조혈 증가	거대적아구성 빈혈	소구성 저색소성	적혈구 크기 불균일	13–17 g/dL	용혈·실혈 회복이다.	거대적아구성 빈혈은(는) 같은 단원의 이웃 개념이다.	소구성 저색소성은(는) 같은 단원의 이웃 개념이다.	적혈구 크기 불균일은(는) 같은 단원의 이웃 개념이다.	13–17 g/dL은(는) 같은 단원의 이웃 개념이다.
성인 남자 정상 Hb 대략은?	13–17 g/dL	3–5 g/dL	20–25 g/dL	1–2 g/dL	30 g/dL	참고치 범위이다.	심한 빈혈 구간이다.	과다 구간이다.	비생리이다.	비생리이다.
CBC에서 헤마토크릿이 나타내는 값으로 옳은 것은?	적혈구 용적비	백혈구 수	혈소판 수	적혈구 크기 불균일	조혈 증가	Hct이다.	WBC 이웃이다.	PLT 이웃이다.	적혈구 크기 불균일은(는) 같은 단원의 이웃 개념이다.	조혈 증가은(는) 같은 단원의 이웃 개념이다.
적혈구지수 중 MCHC가 반영하는 것으로 옳은 것은?	적혈구 평균 혈색소 농도	백혈구 핵	혈소판 크기만	혈장 단백만	소변색	지수이다.	형태 이웃이다.	MPV 이웃이다.	화학 이웃이다.	요 이웃이다.
성인 말초혈액·응고 검사에서 호중구가 오르는 흔한 원인은?	세균감염	13–17 g/dL	적혈구 용적비	적혈구 평균 혈색소 농도	알레르기·기생충	세균감염에 흔하다.	13–17 g/dL은(는) 같은 단원의 이웃 개념이다.	적혈구 용적비은(는) 같은 단원의 이웃 개념이다.	적혈구 평균 혈색소 농도은(는) 같은 단원의 이웃 개념이다.	알레르기·기생충은(는) 같은 단원의 이웃 개념이다.
성인 말초혈액·응고 검사에서 호산구가 오르는 예는?	알레르기·기생충	적혈구 용적비	적혈구 평균 혈색소 농도	세균감염	바이러스감염	eosinophilia이다.	적혈구 용적비은(는) 같은 단원의 이웃 개념이다.	적혈구 평균 혈색소 농도은(는) 같은 단원의 이웃 개념이다.	세균감염은(는) 같은 단원의 이웃 개념이다.	바이러스감염은(는) 같은 단원의 이웃 개념이다.
성인 말초혈액·응고 검사에서 림프구가 오르는 예는?	바이러스감염	적혈구 평균 혈색소 농도	세균감염	알레르기·기생충	출혈	viral lymphocytosis이다.	적혈구 평균 혈색소 농도은(는) 같은 단원의 이웃 개념이다.	세균감염은(는) 같은 단원의 이웃 개념이다.	알레르기·기생충은(는) 같은 단원의 이웃 개념이다.	출혈은(는) 같은 단원의 이웃 개념이다.
