전방형에서 Anti-A만 응집할 때 적혈구에 있는 ABO 항원은?	A 항원	B 항원만	A와 B 둘 다	H 항원만 없고 A도 없다	D 항원만	전방형의 기본이다.	B형은 B 항원이다.	AB형은 둘 다이다.	O형은 A·B가 없다.	Rh는 별도 계열이다.
A형 성인 혈청의 규칙항체로 옳은 것은?	항-B	항-A	항-D	항-A,B 없음	항-H만	역검정의 기본이다.	자기 항원에 대한 항체가 아니다.	Rh 항체는 불규칙이다.	AB형은 규칙항체가 없다.	Bombay 이웃이다.
B형 성인 혈청의 규칙항체로 옳은 것은?	항-A	항-B	항-D	항-AB	없음	역검정이다.	자기 항원이다.	Rh 이웃이다.	O형 혈청 이웃이다.	AB형 이웃이다.
O형 성인 혈청에 있는 규칙항체로 옳은 것은?	항-A와 항-B	항-A만	항-B만	항체 없음	항-D만	O형이다.	A형 이웃이다.	B형 이웃이다.	AB형 이웃이다.	Rh 이웃이다.
AB형 성인 혈청의 규칙항체로 옳은 것은?	항-A·항-B 없음	항-A만	항-B만	항-A와 항-B	항-D만	규칙항체가 없다.	A형 이웃이다.	B형 이웃이다.	O형 이웃이다.	Rh 이웃이다.
혈액은행 수혈전 검사에서 O형 적혈구가 범용 공여로 불리는 이유는?	A·B 항원이 없어서	항체가 없어서	Rh만 있어서	항-A	항-A와 항-B	항원이 없다.	혈청에는 항체가 많다.	Rh는 별도이다.	항-A은(는) 같은 단원의 이웃 개념이다.	항-A와 항-B은(는) 같은 단원의 이웃 개념이다.
AB형 환자가 범용 수혈자로 불리는 이유는?	항-A·항-B가 없어서	항원이 없어서	항-A와 항-B	항-A·항-B 없음	Rh만 있어서	혈청에 규칙항체가 없다.	항원은 둘 다 있다.	항-A와 항-B은(는) 같은 단원의 이웃 개념이다.	항-A·항-B 없음은(는) 같은 단원의 이웃 개념이다.	Rh는 별도이다.
ABO 형별에서 전방시험이 검사하는 것으로 옳은 것은?	적혈구 항원을 검사한다	혈청 항체만 본다	교차만 한다	DAT만 한다	항체선별만 한다	cell typing이다.	후방 이웃이다.	교차 이웃이다.	직접콤스 이웃이다.	선별 이웃이다.
ABO 형별에서 후방시험이 검사하는 것으로 옳은 것은?	혈청 항체를 검사한다	적혈구 항원만 본다	Hb만 본다	Hct만 본다	A·B 항원이 없어서	serum typing이다.	전방 이웃이다.	혈구 이웃이다.	혈구 이웃이다.	A·B 항원이 없어서은(는) 같은 단원의 이웃 개념이다.
다음 전방형 소견의 혈액형은?||- Anti-A +||- Anti-B −||- Anti-D +	A형 Rh(D) 양성	A형 Rh(D) 음성	B형 Rh(D) 양성	O형 Rh(D) 양성	AB형 Rh(D) 양성	A+이다.	D가 양성이다.	B 항원이 없다.	A 항원이 있다.	B가 없다.
다음 전방형 소견의 혈액형은?||- Anti-A −||- Anti-B +||- Anti-D −	B형 Rh(D) 음성	B형 Rh(D) 양성	A형 Rh(D) 음성	O형 Rh(D) 음성	AB형 Rh(D) 음성	B−이다.	D가 음성이다.	A가 없다.	B가 있다.	A가 없다.
혈액은행 수혈전 검사에서 주교차(major)의 구성은?	환자 혈청 + 공여 적혈구	환자 적혈구 + 공여 혈청	Hb만	Hct만	혈청 항체를 검사한다	중요 교차이다.	부교차와 혈청/혈구가 뒤집힌 이웃이다.	혈구 지수이다.	혈구 지수이다.	혈청 항체를 검사한다은(는) 같은 단원의 이웃 개념이다.
혈액은행 수혈전 검사에서 부교차(minor)의 구성은?	환자 적혈구 + 공여 혈청	환자 혈청 + 공여 적혈구	Na만	K만	Cl만	구성이 반대이다.	주교차 이웃이다.	전해질이다.	전해질이다.	전해질이다.
혈액은행 수혈전 검사에서 교차적합시험의 목적은?	수혈 전 적합을 확인한다	B형 Rh(D) 음성	나트륨을 확인한다	심전도를 확인한다	폐기능을 확인한다	환자↔혈액이다.	B형 Rh(D) 음성은(는) 같은 단원의 이웃 개념이다.	전해질 이웃이다.	생리 이웃이다.	생리 이웃이다.
혈액은행 수혈전 검사에서 항체선별의 목적은?	비규칙항체를 찾는다	환자 혈청 + 공여 적혈구	나트륨을 본다	칼륨을 본다	심전도를 본다	screen이다.	환자 혈청 + 공여 적혈구은(는) 같은 단원의 이웃 개념이다.	전해질이다.	전해질이다.	생리이다.
