용혈 검체에서 위증가가 특히 큰 항목은?	칼륨(K+)	나트륨(Na+)	염소(Cl−)	중탄산(HCO3−)	요소질소(BUN)	적혈구 내 K+가 높아 용혈 시 혈청 K+가 오른다.	Na는 영향이 상대적으로 작다.	Cl은 주된 용혈 지표가 아니다.	HCO3는 가스/산염기 이웃이다.	BUN은 신기능 이웃이다.
혈당 검체를 실온에 방치하면 수치가 떨어지는 주된 이유는?	혈구의 해당작용	증발만	빛이 포도당을 만든다	칼륨(K+)	플루오르화나트륨이 해당 효소를 억제한다	분리 전에 세포가 포도당을 쓴다.	증발이 주원인이 아니다.	광합성이 아니다.	칼륨(K+)은(는) 같은 단원의 이웃 개념이다.	플루오르화나트륨이 해당 효소를 억제한다은(는) 같은 단원의 이웃 개념이다.
회색 마개 채혈관이 혈당 감소를 막는 기전으로 옳은 것은?	플루오르화나트륨이 해당 효소를 억제한다	EDTA가 칼슘을 모두 공급한다	헤파린이 해당을 촉진한다	구연산염이 인슐린을 중화한다	응고촉진제가 당을 합성한다	NaF는 enolase 등을 억제한다.	EDTA는 항응고 이웃이다.	헤파린은 항응고 이웃이다.	구연산염은 응고검사용 이웃이다.	응고촉진은 혈청관 이웃이다.
임상화학 검체와 결과 해석에서 혈청과 혈장의 차이로 옳은 것은?	혈청은 응고 후 액체로 섬유소원이 소모된다	칼륨(K+)	혈장만 단백질이 없다	혈청만 전해질이 없다	혈장은 항상 적혈구를 포함한다	혈장은 항응고 전혈 상층이다.	칼륨(K+)은(는) 같은 단원의 이웃 개념이다.	단백질이 있다.	전해질이 있다.	혈장은 무세포 상층이다.
공복 혈당 전 일반적인 금식 시간은?	8–12시간	1시간	혈구의 해당작용	금식 불필요	30분	지침상 하룻밤 금식이다.	너무 짧다.	혈구의 해당작용은(는) 같은 단원의 이웃 개념이다.	중성지방·당에 금식이 중요하다.	너무 짧다.
HbA1c가 반영하는 기간으로 가장 적절한 것은?	약 2–3개월	2–3분	2–3일	2–3년	적혈구 일생 10년	적혈구 수명과 관련한다.	순간 혈당 이웃이다.	단기 당 이웃이다.	너무 길다.	수명이 그 정도가 아니다.
임상화학 검체와 결과 해석에서 간에 상대적으로 더 특이한 아미노전이효소는?	ALT	AST	ALP	CK	LD	ALT는 간에 더 특이적이다.	AST는 심근·근육에도 많다.	ALP는 담도·골 이웃이다.	CK는 근육·심근 이웃이다.	LD는 광범위 이웃이다.
ALP가 오를 때 함께 감별할 장기로 가장 적절한 것은?	간·뼈	머리카락	손톱	고막	각막	담도·골 기원이 흔하다.	모발은 아니다.	조갑은 아니다.	청각 기관이 아니다.	안구 표면이 아니다.
알코올·담도 질환에서 함께 오르기 쉬운 효소는?	GGT	CK	아밀라제	리파제	트로포닌	GGT는 간담도 지표이다.	CK는 근육 이웃이다.	아밀라제는 췌장·침샘 이웃이다.	리파제는 췌장 이웃이다.	트로포닌은 심근 이웃이다.
임상화학 검체와 결과 해석에서 직접(포합) 빌리루빈이 우세하면 우선 가까운 것은?	담도 폐쇄·간세포성 황달	혈관 내 용혈만	ALT	간·뼈	GGT	포합형이 역류한다.	용혈은 비포합 우세 이웃이다.	ALT은(는) 같은 단원의 이웃 개념이다.	간·뼈은(는) 같은 단원의 이웃 개념이다.	GGT은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 간접(비포합) 빌리루빈이 우세하면 우선 가까운 것은?	용혈 또는 포합 장애	총수담관 결석만	간·뼈	GGT	담도 폐쇄·간세포성 황달	비포합형 증가 패턴이다.	담석은 직접형 우세 이웃이다.	간·뼈은(는) 같은 단원의 이웃 개념이다.	GGT은(는) 같은 단원의 이웃 개념이다.	담도 폐쇄·간세포성 황달은(는) 같은 단원의 이웃 개념이다.
급성췌장염에서 함께 보는 효소로 가장 적절한 것은?	아밀라제와 리파제	CK와 트로포닌	ALT와 GGT만	TSH와 FT4	BUN과 크레아티닌만	췌장 효소 쌍이다.	심근 표지 이웃이다.	간담도 이웃이다.	갑상선 이웃이다.	신기능 이웃이다.
임상화학 검체와 결과 해석에서 트로포닌이 특이적으로 시사하는 것은?	심근 손상	간세포 손상만	사구체 여과만	혈당 조절만	혈액형 변화	심근경색 표지이다.	ALT/AST 이웃이다.	크레아티닌 이웃이다.	HbA1c 이웃이다.	수혈 이웃이다.
임상화학 검체와 결과 해석에서 LDL이 높으면 위험으로 가장 가까운 것은?	죽상동맥경화	용혈 또는 포합 장애	아밀라제와 리파제	심근 손상	충분한 공복	지질 위험 인자이다.	용혈 또는 포합 장애은(는) 같은 단원의 이웃 개념이다.	아밀라제와 리파제은(는) 같은 단원의 이웃 개념이다.	심근 손상은(는) 같은 단원의 이웃 개념이다.	충분한 공복은(는) 같은 단원의 이웃 개념이다.
중성지방 검사 전 중요한 것은?	충분한 공복	혈액형 확인	신장 측정	시력 검사	청력 검사	비공복 시 TG가 오른다.	수혈과 무관하다.	신장은 참고치용이다.	안과와 무관하다.	이비인후와 무관하다.
임상화학 검체와 결과 해석에서 고칼륨의 임상 위험으로 가장 적절한 것은?	부정맥	심근 손상	시력만 저하	청력만 저하	미각만 저하	응급 가능 전해질이다.	심근 손상은(는) 같은 단원의 이웃 개념이다.	안과와 등가가 아니다.	이비인후와 등가가 아니다.	미각과 등가가 아니다.
임상화학 검체와 결과 해석에서 칼슘 조절에 직접적인 호르몬은?	부갑상선호르몬(PTH)	인슐린만	글루카곤만	에리트로포이에틴만	ADH만	PTH·비타민 D가 주축이다.	혈당 이웃이다.	혈당 이웃이다.	조혈 이웃이다.	수분 이웃이다.
임상화학 검체와 결과 해석에서 철결핍의 전형 패턴은?	철 감소, TIBC 증가	철 증가, TIBC 감소	충분한 공복	부정맥	부갑상선호르몬(PTH)	저장 고갈·운반능 증가이다.	빈혈 of chronic disease 이웃이다.	충분한 공복은(는) 같은 단원의 이웃 개념이다.	부정맥은(는) 같은 단원의 이웃 개념이다.	부갑상선호르몬(PTH)은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 Ferritin이 낮으면 우선 가까운 것은?	철결핍	부정맥	부갑상선호르몬(PTH)	철 감소, TIBC 증가	원발성 갑상선기능저하	저장철 감소이다.	부정맥은(는) 같은 단원의 이웃 개념이다.	부갑상선호르몬(PTH)은(는) 같은 단원의 이웃 개념이다.	철 감소, TIBC 증가은(는) 같은 단원의 이웃 개념이다.	원발성 갑상선기능저하은(는) 같은 단원의 이웃 개념이다.
갑상선기능검사에서 TSH 상승·FT4 저하 조합에 가장 가까운 것은?	원발성 갑상선기능저하	부갑상선호르몬(PTH)	철 감소, TIBC 증가	철결핍	감소한다	갑상선 자체 저기능이다.	부갑상선호르몬(PTH)은(는) 같은 단원의 이웃 개념이다.	철 감소, TIBC 증가은(는) 같은 단원의 이웃 개념이다.	철결핍은(는) 같은 단원의 이웃 개념이다.	감소한다은(는) 같은 단원의 이웃 개념이다.
대사성 산증의 일차 변화로 HCO3−는 어떻게 되는가?	감소한다	증가만 한다	철 감소, TIBC 증가	측정 불가하다	음수가 된다	완충 염기가 소모된다.	증가는 알칼리 이웃이다.	철 감소, TIBC 증가은(는) 같은 단원의 이웃 개념이다.	측정한다.	음수가 되지 않는다.
호흡성 산증의 일차 변화로 PaCO2는 어떻게 되는가?	증가한다	감소만 한다	철결핍	원발성 갑상선기능저하	음수가 된다	환기 저하이다.	감소는 과호흡 이웃이다.	철결핍은(는) 같은 단원의 이웃 개념이다.	원발성 갑상선기능저하은(는) 같은 단원의 이웃 개념이다.	음수가 아니다.
차광 용기가 필요한 임상화학 항목의 예는?	빌리루빈	나트륨	염소	칼륨	중탄산 이온만	차광이 필요하다.	전해질은 광안정에 가깝다.	전해질이다.	전해질이다.	가스/산염기 이웃이다.
이온선택전극(ISE)으로 흔히 측정하는 항목은?	Na, K, Cl	세균 동정	바이러스 배양	진균 도말	기생충 충란	이온선택전극이다.	미생물 이웃이다.	바이러스 이웃이다.	진균 이웃이다.	기생충 이웃이다.
분광광도 비색에서 흡광도와 농도의 기본 관계는?	흡광도는 농도에 비례한다	전기축과 같다	전도속도와 같다	폐활량과 같다	뇌파와 같다	Beer 법칙이다.	심전 이웃이다.	신경 이웃이다.	폐기능 이웃이다.	뇌파 이웃이다.
투과도(T)가 10%(0.10)일 때 흡광도(A)는?	1.0	0.1	2.0	10	100	A=−log T=1이다.	T를 그대로 쓴 이웃이다.	T=1%일 때 이웃이다.	퍼센트를 그대로 쓴 이웃이다.	퍼센트 스케일 착오이다.
Blank를 100% 투과로 맞춘 뒤 시료 투과도가 100%이면 흡광도는?	0	0.1	1	2	100	A=−log 1=0이다.	작은 값 착오이다.	T=10% 이웃이다.	T=1% 이웃이다.	퍼센트 착오이다.
1.0 mol/L 포도당(MW 180) 100 mL를 만들 때 필요한 포도당은?	18 g	1.8 g	180 g	0.18 g	36 g	1.0 mol/L×0.1 L×180 g/mol=18 g이다.	10배 작은 이웃이다.	1 L분 이웃이다.	100배 작은 이웃이다.	2배 착오이다.
180 mg/dL 포도당은 mmol/L로 약 얼마인가? (MW 180)	10 mmol/L	1 mmol/L	18 mmol/L	5 mmol/L	100 mmol/L	180 mg/dL=1.8 g/L÷180=10 mmol/L이다.	10배 작은 이웃이다.	mg/dL를 그대로 나눈 착오이다.	공복 참고치와 혼동.	단위 미환산이다.
혈청 Na 140, 포도당 180 mg/dL, BUN 28 mg/dL일 때 계산 삼투압(mOsm/kg)에 가장 가까운 것은?	2×Na + glu/18 + BUN/2.8 ≈ 300	2×Na만 = 280	Na + glu + BUN = 348	Na×10 = 1400	glu/18만 = 10	표준 개산식이다.	당·요소를 뺀 이웃이다.	단위 미환산 합이다.	10배 착오이다.	당만의 항이다.
임상화학 검체와 결과 해석에서 측정 삼투압이 계산값보다 크게 벌어지면?	삼투압 갭 증가	18 g	10 mmol/L	2×Na + glu/18 + BUN/2.8 ≈ 300	델타 체크	알코올·독성물질 등을 시사한다.	18 g은(는) 같은 단원의 이웃 개념이다.	10 mmol/L은(는) 같은 단원의 이웃 개념이다.	2×Na + glu/18 + BUN/2.8 ≈ 300은(는) 같은 단원의 이웃 개념이다.	델타 체크은(는) 같은 단원의 이웃 개념이다.
같은 환자의 연속 결과가 비정상적으로 차이날 때 우선 이름 붙이는 점검은?	델타 체크	평균(mean)만	최빈값(mode)	중앙값(median)	참고범위 재설정만	이전-현재 비교이다.	중심경향 이웃이다.	중심경향 이웃이다.	중심경향 이웃이다.	참고범위는 다른 절차이다.
참값에서 한쪽으로 치우친 오차를 부르는 말은?	치우침(bias)	범위(range)	최빈값	중앙값	평균만	정확도 문제이다.	산포 이웃이다.	분포 봉우리 이웃이다.	50백분위 이웃이다.	중심값 이웃이다.
Westgard에서 한 점이 +3s를 넘으면?	1-3s 관리이탈	2-2s	R-4s	10-x	관리상태	단일점 3s 규칙이다.	연속 2점 2s 이웃이다.	범위 4s 이웃이다.	연속 10점 한<쪽 이웃이다.	한계 안이 아니다.
임상화학 검체와 결과 해석에서 연속 2점이 같은 쪽 2s를 넘으면?	2-2s	1-3s	R-4s	10-x	in control	같은 방향 2s 두 점이다.	3s 단일점 이웃이다.	범위 규칙 이웃이다.	추세/이동 이웃이다.	관리 안이 아니다.
임상화학 검체와 결과 해석에서 점이 한 방향으로 계속 올라가는 LJ 형태는?	추세(trend)	이동(shift)만	1-3s만	in control	무작위 오차만	점진 변화가 trend이다.	갑작 수준 변화는 shift 이웃이다.	단일 이탈 이웃이다.	관리 안이 아니다.	체계 변화일 수 있다.
임상화학 검체와 결과 해석에서 내부정도관리의 목적으로 옳은 것은?	매일 분석의 안정성을 감시한다	외부 검사실과만 비교한다	광고한다	인력을 감축한다	기록을 삭제한다	QC 시료로 감시한다.	외부신빙도는 별도 이웃이다.	홍보가 아니다.	감축이 아니다.	기록은 남긴다.
임상화학 검체와 결과 해석에서 외부정도관리의 목적으로 옳은 것은?	검사실 간 결과를 비교한다	라벨 색을 비교한다	2-2s	조명을 비교한다	점심을 비교한다	신빙도조사이다.	식별 미관이 아니다.	2-2s은(는) 같은 단원의 이웃 개념이다.	조명이 아니다.	식사가 아니다.
분석기에서 보정(calibration)이 하는 일로 옳은 것은?	농도와 신호를 맞춘다	이름만 맞춘다	온도만 맞춘다	추세(trend)	벽색만 맞춘다	정확도의 기초이다.	식별이 아니다.	환경만이 아니다.	추세(trend)은(는) 같은 단원의 이웃 개념이다.	도장이 아니다.
임상화학 검체와 결과 해석에서 지혈대를 너무 오래 하면?	일부 항목이 농축·오차 난다	매일 분석의 안정성을 감시한다	검사실 간 결과를 비교한다	농도와 신호를 맞춘다	혈당이 0이 된다	짧게 푼다.	매일 분석의 안정성을 감시한다은(는) 같은 단원의 이웃 개념이다.	검사실 간 결과를 비교한다은(는) 같은 단원의 이웃 개념이다.	농도와 신호를 맞춘다은(는) 같은 단원의 이웃 개념이다.	0이 되지 않는다.
임상화학 검체와 결과 해석에서 항응고관은 채혈 후?	가볍게 혼화한다	섞지 않는다	1시간 진탕한다	가열한다	끓인다	첨가제별 혼화가 필요하다.	응고·미세응고가 난다.	용혈이 난다.	단백이 변성한다.	파괴된다.
임상화학 검체와 결과 해석에서 혈청관은 원심 전에?	응고될 때까지 둔다	즉시 무조건 원심한다	희석한다	동결한다	가열한다	피브린이 형성되어야 한다.	미응고면 피브린이 남는다.	희석이 아니다.	해동이 아니다.	변성이다.
임상화학 검체와 결과 해석에서 유미 혈청의 문제는?	일부 비색을 방해한다	일부 항목이 농축·오차 난다	가볍게 혼화한다	응고될 때까지 둔다	비색 간섭이 가능하다	지질 혼탁이다.	일부 항목이 농축·오차 난다은(는) 같은 단원의 이웃 개념이다.	가볍게 혼화한다은(는) 같은 단원의 이웃 개념이다.	응고될 때까지 둔다은(는) 같은 단원의 이웃 개념이다.	비색 간섭이 가능하다은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 황달 혈청의 문제는?	비색 간섭이 가능하다	가볍게 혼화한다	응고될 때까지 둔다	일부 비색을 방해한다	신속히 차갑게 처리한다	빌리루빈 색 간섭이다.	가볍게 혼화한다은(는) 같은 단원의 이웃 개념이다.	응고될 때까지 둔다은(는) 같은 단원의 이웃 개념이다.	일부 비색을 방해한다은(는) 같은 단원의 이웃 개념이다.	신속히 차갑게 처리한다은(는) 같은 단원의 이웃 개념이다.
암모니아 검체 취급으로 옳은 것은?	신속히 차갑게 처리한다	실온에 장시간 둔다	가열한다	용혈을 권장한다	빛에 장시간 둔다	불안정·생성 증가를 막는다.	실온은 위증가이다.	열은 위증가이다.	용혈은 방해이다.	광분해 이슈와 별개로 신속 처리한다.
ABG 검체에서 공기가 들어가면?	가스 분압이 왜곡된다	일부 비색을 방해한다	비색 간섭이 가능하다	혈액형만 바뀐다	신속히 차갑게 처리한다	기포를 빼고 즉시 분석한다.	일부 비색을 방해한다은(는) 같은 단원의 이웃 개념이다.	비색 간섭이 가능하다은(는) 같은 단원의 이웃 개념이다.	수혈과 무관하다.	신속히 차갑게 처리한다은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 채혈 순서를 지키는 이유는?	첨가제 교차오염을 막으려고	시간을 낭비하려고	무관해서	색만 맞추려고	습관만으로	교차오염 방지이다.	낭비가 아니다.	관련 있다.	색이 아니다.	습관 이상이다.
시약 로트를 교체한 뒤 정도관리에서 우선할 조치는?	보정과 QC를 다시 확인한다	무시한다	임의로 쓴다	삭제한다	라벨을 제거한다	변경 관리이다.	무시하면 안 된다.	임의는 안 된다.	기록은 남긴다.	식별은 유지한다.
냉동 검체나 시약을 해동할 때 주의로 옳은 것은?	완전 해동 후 섞는다	반만 해동한다	끓인다	장시간 실온 방치한다	빛에 방치한다	반복 동결을 피한다.	불균일 농도이다.	변성이다.	분해가 난다.	광분해 항목이 있다.
탈수 때 볼 수 있는 것은?	농축	첨가제 교차오염을 막으려고	보정과 QC를 다시 확인한다	완전 해동 후 섞는다	태반 동종효소	혈장량 감소이다.	첨가제 교차오염을 막으려고은(는) 같은 단원의 이웃 개념이다.	보정과 QC를 다시 확인한다은(는) 같은 단원의 이웃 개념이다.	완전 해동 후 섞는다은(는) 같은 단원의 이웃 개념이다.	태반 동종효소은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 임산부 ALP가 오를 수 있는 이유는?	태반 동종효소	보정과 QC를 다시 확인한다	완전 해동 후 섞는다	농축	물에 잘 녹아서	생리 변화이다.	보정과 QC를 다시 확인한다은(는) 같은 단원의 이웃 개념이다.	완전 해동 후 섞는다은(는) 같은 단원의 이웃 개념이다.	농축은(는) 같은 단원의 이웃 개념이다.	물에 잘 녹아서은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 공액빌리루빈이 소변에 나오는 이유는?	물에 잘 녹아서	완전 해동 후 섞는다	지방만 녹여서	가스여서	금속이어서	직접형은 수용성이다.	완전 해동 후 섞는다은(는) 같은 단원의 이웃 개념이다.	지질이 아니다.	가스가 아니다.	금속이 아니다.
임상화학 검체와 결과 해석에서 요비중 상승의 해석으로 가능한 것은?	농축 또는 당·단백 부하	농축	태반 동종효소	물에 잘 녹아서	채혈 시점을 해석하려고	요검사 해석이다.	농축은(는) 같은 단원의 이웃 개념이다.	태반 동종효소은(는) 같은 단원의 이웃 개념이다.	물에 잘 녹아서은(는) 같은 단원의 이웃 개념이다.	채혈 시점을 해석하려고은(는) 같은 단원의 이웃 개념이다.
심근표지 시간창을 아는 이유는?	채혈 시점을 해석하려고	무관해서	색만 보려고	향만 보려고	가격만 보려고	미오글로빈·CK·트로포닌 시간차가 있다.	관련 있다.	색이 아니다.	향이 아니다.	가격이 아니다.
임상화학 검체와 결과 해석에서 결과 해석의 기본은?	참고치·임상·추이	숫자만	무시	임의 수정	비난	통합 해석이다.	숫자만으로 부족하다.	무시하면 안 된다.	조작하면 안 된다.	비난이 아니다.
임상화학에서 즉시 전화 보고하는 위급치의 의미로 옳은 것은?	확인 후 즉시 통보한다	내일 보고한다	무시한다	삭제한다	사회관계망에 공개한다	기록한다.	지연하면 안 된다.	무시하면 안 된다.	삭제하면 안 된다.	비밀을 지킨다.
분석 전 오류의 예는?	용혈·잘못된 관	램프만	검출기만	소프트웨어만	시약곡선만	preanalytical이다.	분석 중 이웃이다.	분석 중 이웃이다.	분석 후/정보 이웃이다.	분석 중 이웃이다.
임상화학 검체와 결과 해석에서 케톤 검사가 쓰이는 때는?	당뇨성 케톤산증 의심	혈액형 확인	교차시험	조직 고정	그람 염색	요·혈 케톤이다.	수혈 이웃이다.	혈액은행 이웃이다.	조직 이웃이다.	미생물 이웃이다.
소변·혈청 임신반응에서 hCG 검사의 원리로 옳은 것은?	항원-항체 반응	그람 염색	배양	전기영동만	원자흡광만	면역측정이다.	미생물 이웃이다.	배양 이웃이다.	단백 분획 이웃이다.	금속 분석 이웃이다.
호흡곤란 감별에서 BNP가 시사하는 것으로 가장 적절한 것은?	심부전 보조 표지	간염만	결석만	용혈·잘못된 관	빈혈만	심부하 표지이다.	간효소 이웃이다.	요산·칼슘 이웃이다.	용혈·잘못된 관은(는) 같은 단원의 이웃 개념이다.	혈액 이웃이다.
임상화학 검체와 결과 해석에서 단백전기영동의 목적은?	단백 분획을 본다	세균을 동정한다	바이러스를 배양한다	기생충을 염색한다	진균만 본다	M단백 선별 등이다.	미생물 이웃이다.	바이러스 이웃이다.	기생충 이웃이다.	진균 이웃이다.
다음 SPE 소견에 가장 가까운 것은?||- 알부민 감소||- γ 영역에 날카로운 단일 피크	단클론(M)단백 의심	정상 분획	다클론 증가만	신증후군 패턴만	급성염증 패턴만	M-spike이다.	정상이 아니다.	다클론은 완만한 언덕 이웃이다.	신증후군은 α2·알부민 이웃이다.	급성기는 α1/α2 이웃이다.
다음 SPE 소견에 가장 가까운 것은?||- 알부민 감소||- α2 증가||- 부종	신증후군 패턴	M단백만	정상	간경변 γ 증가만	급성기만	알부민 소실·α2(거대글로불린) 상대 증가이다.	날카로운 γ가 아니다.	정상이 아니다.	간경변은 β-γ bridging 이웃이다.	급성기는 알부민 경도↓·α↑이다.
다음 중 transferase 부류에 해당하는 효소는?	AST	리파제	아밀라제	알돌라제	콜린에스터라제	아미노전이효소이다.	가수분해 이웃이다.	가수분해 이웃이다.	분해효소 이웃이다.	가수분해 이웃이다.
임상화학 검체와 결과 해석에서 AST/ALT 반응의 보조효소로 배우는 것은?	피리독살인산(비타민 B6)	시트르산	피루브산만	옥살로아세트산만	티아민만	B6가 아미노전이에 필요하다.	TCA 중간체 이웃이다.	기질/산물 이웃이다.	기질/산물 이웃이다.	다른 비타민 이웃이다.
세포 파괴 때 함께 오르기 쉬운 전해질은?	칼륨	신증후군 패턴	염소만 감소	칼슘만 항상 증가	마그네슘만 항상 감소	세포 내 K+ 유출이다.	신증후군 패턴은(는) 같은 단원의 이웃 개념이다.	Cl은 주된 세포 내 이온이 아니다.	Ca는 반대·복잡하다.	Mg는 같이 오를 수 있다.
다음 산-염기 소견에 가장 가까운 것은?||- pH 7.25||- HCO3− 12 mmol/L||- PaCO2 28 mmHg	대사성 산증(호흡 대상)	호흡성 산증	대사성 알칼리증	호흡성 알칼리증 원발	정상	낮은 HCO3가 원발, CO2 감소는 대상이다.	호흡 원발은 CO2 상승이다.	알칼리는 pH 상승이다.	원발 과호흡은 HCO3가 정상에 가깝다.	pH가 낮다.
자동화 분석 흐름 ‘검체 → 시약 분주 → ( ) → 항온 → 측광’에서 빈칸은?	혼합	바코드 재부착	원심만	박절	배양	반응액 혼화가 다음이다.	식별은 전 단계이다.	전처리는 앞이다.	조직 이웃이다.	미생물 이웃이다.
임상화학 검체와 결과 해석에서 효소 활성 단위로 흔한 것은?	U/L	mmHg만	mEq만	g/dL만	%만	국제단위이다.	가스/압 이웃이다.	전해질 이웃이다.	농도 이웃이다.	분율 이웃이다.
임상화학 검체와 결과 해석에서 요잠혈 양성이면 의심할 수 있는 것은?	혈뇨·헤모글로빈뇨 등	대사성 산증(호흡 대상)	칼륨만	염소만	포도당만	추가 확인이 필요하다.	대사성 산증(호흡 대상)은(는) 같은 단원의 이웃 개념이다.	전해질 이웃이다.	전해질 이웃이다.	요당 이웃이다.
요당 양성이면?	고혈당 등을 평가한다	혼합	혈액형이다	세균 이름이다	조직 이름이다	요스틱 선별이다.	혼합은(는) 같은 단원의 이웃 개념이다.	수혈이 아니다.	동정이 아니다.	병리가 아니다.
요단백 양성이면?	신장 등 추가 평가	즉시 수혈	즉시 교차	즉시 심전도	즉시 폐기능	정량·침사가 이어진다.	수혈이 1차가 아니다.	혈액은행이 1차가 아니다.	생리가 1차가 아니다.	폐기능이 1차가 아니다.
신부전에서 오르는 것은?	크레아티닌	혈뇨·헤모글로빈뇨 등	고혈당 등을 평가한다	신장 등 추가 평가	알부민 감소	GFR 저하 표지이다.	혈뇨·헤모글로빈뇨 등은(는) 같은 단원의 이웃 개념이다.	고혈당 등을 평가한다은(는) 같은 단원의 이웃 개념이다.	신장 등 추가 평가은(는) 같은 단원의 이웃 개념이다.	알부민 감소은(는) 같은 단원의 이웃 개념이다.
간부전에서 볼 수 있는 것은?	알부민 감소	고혈당 등을 평가한다	신장 등 추가 평가	크레아티닌	성장·생리 차이	합성 저하이다.	고혈당 등을 평가한다은(는) 같은 단원의 이웃 개념이다.	신장 등 추가 평가은(는) 같은 단원의 이웃 개념이다.	크레아티닌은(는) 같은 단원의 이웃 개념이다.	성장·생리 차이은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 소아 참고치가 다른 이유는?	성장·생리 차이	기계만 달라서	단위만 달라서	이름 길이 때문에	옷 색 때문에	연령별 참고치이다.	기계가 전부가 아니다.	단위는 같다.	이름과 무관하다.	복장과 무관하다.
검체 용기에 바코드를 붙이는 목적으로 가장 적절한 것은?	바꿈을 방지한다	미관	무게	온도	용혈 촉진	식별이다.	미관이 아니다.	무게가 아니다.	온도가 아니다.	용혈이 목적이 아니다.
mg/dL을 mmol/L로 바꿀 때 반드시 필요한 것은?	환산계수(분자량 등)	혈액형	키	나이	성별만	농도 환산이다.	수혈과 무관하다.	신장은 참고치용이다.	연령은 참고치용이다.	성별은 참고치용이다.
다음 중 급성기 반응으로 감소하는 단백은?	알부민	CRP	페리틴	α1-항트립신	세룰로플라스민	음성 급성기이다.	CRP는 양성 급성기 이웃이다.	페리틴도 양성 쪽이다.	AAT는 양성 쪽이다.	세룰로플라스민은 양성 쪽이다.
급성기 반응에서 CRP를 측정하는 이유로 가장 적절한 것은?	비특이 염증 지표	혈액형	간 절대 특이	신 절대 특이	심근 절대 특이	급성기 반응이다.	수혈이 아니다.	간에만 있지 않다.	신에만 있지 않다.	트로포닌과 다르다.
임상화학 검체와 결과 해석에서 요산이 오르면 연관되는 것은?	통풍	환산계수(분자량 등)	알부민	비특이 염증 지표	알부민과 글로불린	퓨린 대사이다.	환산계수(분자량 등)은(는) 같은 단원의 이웃 개념이다.	알부민은(는) 같은 단원의 이웃 개념이다.	비특이 염증 지표은(는) 같은 단원의 이웃 개념이다.	알부민과 글로불린은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 총단백의 주성분은?	알부민과 글로불린	헤모글로빈만	피브린만	글리코겐만	콜레스테롤만	TP=A+G이다.	혈구 색소이다.	응고 산물이다.	당원이다.	지질이다.
임상화학 검체와 결과 해석에서 알부민이 떨어지면?	부종·합성저하 등을 본다	비특이 염증 지표	통풍	알부민과 글로불린	페리틴	간·신·영양을 본다.	비특이 염증 지표은(는) 같은 단원의 이웃 개념이다.	통풍은(는) 같은 단원의 이웃 개념이다.	알부민과 글로불린은(는) 같은 단원의 이웃 개념이다.	페리틴은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 철·TIBC와 함께 보는 저장 지표는?	페리틴	트로포닌	BNP	TSH	CRP만	저장철이다.	심근 이웃이다.	심부전 이웃이다.	갑상선 이웃이다.	염증 이웃이다.
임상화학 검체와 결과 해석에서 B12·엽산 결핍 빈혈의 형태는?	거대적아구성	알부민과 글로불린	급성실혈만	지중해만	겸상만	대구성이다.	알부민과 글로불린은(는) 같은 단원의 이웃 개념이다.	정구성 실혈 이웃이다.	혈색소병 이웃이다.	혈색소병 이웃이다.
임상화학 검체와 결과 해석에서 CK가 오르는 예는?	근육 손상	부종·합성저하 등을 본다	페리틴	거대적아구성	말초 콜레스테롤 역수송과 관련되어서	심근·골격근이다.	부종·합성저하 등을 본다은(는) 같은 단원의 이웃 개념이다.	페리틴은(는) 같은 단원의 이웃 개념이다.	거대적아구성은(는) 같은 단원의 이웃 개념이다.	말초 콜레스테롤 역수송과 관련되어서은(는) 같은 단원의 이웃 개념이다.
임상화학 검체와 결과 해석에서 LDL과 달리 HDL이 ‘보호적’으로 배우는 이유는?	말초 콜레스테롤 역수송과 관련되어서	페리틴	혈당을 올려서	칼륨을 올려서	빌리루빈을 올려서	지질 수업의 기본이다.	페리틴은(는) 같은 단원의 이웃 개념이다.	당과 등가가 아니다.	K와 등가가 아니다.	빌리루빈과 등가가 아니다.
임상화학 검체와 결과 해석에서 나트륨이 주로 반영하는 것은?	수분·삼투 상태	철만	엽산만	비타민 C만	멜라닌만	세포외 주요 양이온이다.	철대사 이웃이다.	빈혈 이웃이다.	비타민 이웃이다.	색소 이웃이다.
