「의료법」상 의료인이 진료기록부를 보존하여야 하는 기간은?	10년	2년	3년	5년	20년	진료기록부 보존기간은 10년이다.	처방전 보존기간(2년)과 혼동한 이웃 기한이다.	진단서 등 부본 보존기간(3년)과 혼동한 이웃 기한이다.	검사소견기록·방사선사진 등 보존기간(5년)과 혼동한 이웃 기한이다.	법정 진료기록부 기한이 아닌 더 긴 기간이다.
「의료법」상 처방전을 보존하여야 하는 기간은?	2년	1년	3년	5년	10년	처방전 보존기간은 2년이다.	법정 처방전 기한보다 짧다.	진단서 부본(3년)과 혼동한 이웃 기한이다.	검사소견기록(5년)과 혼동한 이웃 기한이다.	진료기록부(10년)와 혼동한 이웃 기한이다.
「의료법」상 검사소견기록을 보존하여야 하는 기간은?	5년	2년	3년	10년	15년	검사소견기록은 5년 보존이다.	처방전(2년)과 혼동한 이웃 기한이다.	진단서 부본(3년)과 혼동한 이웃 기한이다.	진료기록부(10년)와 혼동한 이웃 기한이다.	법정 검사소견 기한이 아닌 기간이다.
「의료법」상 진단서 등 부본을 보존하여야 하는 기간은?	3년	1년	2년	5년	10년	진단서 등 부본은 3년 보존이다.	법정 부본 기한보다 짧다.	처방전(2년)과 혼동한 이웃 기한이다.	검사소견기록(5년)과 혼동한 이웃 기한이다.	진료기록부(10년)와 혼동한 이웃 기한이다.
「의료법」상 방사선 사진 및 그 소견서를 보존하여야 하는 기간은?	5년	2년	3년	10년	20년	방사선 사진·소견서는 5년 보존이다.	처방전(2년)과 혼동한 이웃 기한이다.	진단서 부본(3년)과 혼동한 이웃 기한이다.	진료기록부(10년)와 혼동한 이웃 기한이다.	법정 방사선 기록 기한이 아니다.
「의료법」상 의료인에 해당하지 않는 것은?	임상병리사	의사	치과의사	한의사	조산사	임상병리사는 의료기사이며 의료인 목록에 없다.	의사는 의료인이다.	치과의사는 의료인이다.	한의사는 의료인이다.	조산사는 의료인이다.
「의료법」상 의료인에 해당하는 것은?	간호사	방사선사	물리치료사	작업치료사	치과위생사	간호사는 의사·치과의사·한의사·조산사와 함께 의료인이다.	방사선사는 의료기사이다.	물리치료사는 의료기사이다.	작업치료사는 의료기사이다.	치과위생사는 의료기사이다.
「의료법」상 원칙적으로 의료기관을 개설할 수 없는 자는?	임상병리사	의사	치과의사	한의사	국가·지방자치단체	임상병리사에게는 의료기관 개설권이 없다.	의사는 개설권자이다.	치과의사는 개설권자이다.	한의사는 개설권자이다.	국가·지자체는 법령상 개설이 가능한 주체이다.
「의료법」상 의료인이 둘 이상의 의료기관에서 근무하는 것이 원칙적으로 제한되는 제도에 대한 설명으로 옳은 것은?	하나의 의료기관에 전속하여 근무하는 것이 원칙이다	둘 이상 기관 겸직이 원칙적으로 자유롭다	야간이면 겸직 제한이 없다	연구 목적이면 신고 없이 겸직한다	개설자가 아니면 제한이 없다	한지주의는 원칙적 단수 기관 전속이며 예외는 법령이 정한다.	겸직 자유가 원칙이 아니다.	시간대만으로 예외가 되지 않는다.	예외에도 절차가 있다.	개설 여부와 무관하게 전속 원칙이 적용된다.
환자가 본인 진료기록 사본을 요청한 경우 「의료법」상 가장 적절한 조치는?	정당한 사유가 없으면 발급한다	제3자 열람과 동일하게 거부한다	구두 설명만으로 갈음한다	수사 공문이 있을 때만 발급한다	보존기간이 지난 기록만 발급한다	환자 본인 요청은 정당한 사유가 없으면 응한다.	제3자 제공 제한과 본인 열람을 혼동한 이웃 조항이다.	사본 발급을 구두로 대체하는 규정이 아니다.	수사기관 제공은 별도 예외 조항이다.	보존 중 기록도 본인 요청 대상이다.
