일상 생검 고정에 가장 흔히 쓰는 고정액으로 옳은 것은?	10% 중성완충포르말린	무수 에탄올만	부앵액만	글루타르알데히드만	젠커액만	일상 검체는 10% NBF가 표준이다.	알코올은 세포진·일부 특수 고정 이웃이다.	부앵은 핵 염색·위점막 등 특수 이웃이다.	글루타르알데히드는 전자현미경 이웃이다.	젠커는 수은 고정 이웃이다.
파라핀 생검 처리 과정에서 시판 포르말린을 희석한 10% 포르말린의 포름알데히드 농도로 가장 가까운 것은?	약 4%	약 10%	약 20%	약 37–40%	약 1%	시판 포르말린(≈37–40%)을 10배 희석하면 약 3.7–4%이다.	희석 전 표기 10%와 혼동한 이웃이다.	과대 농도 이웃이다.	미희석 원액 농도 이웃이다.	과소 농도 이웃이다.
파라핀 생검 처리 과정에서 중성완충포르말린을 쓰는 이유로 가장 적절한 것은?	산성화와 포르말린 색소를 줄인다	조직을 용해한다	배양을 가능하게 한다	탈수를 생략한다	파라핀을 대체한다	완충으로 pH를 유지해 색소·손상을 줄인다.	용해가 목적이 아니다.	고정액은 배양이 아니다.	탈수는 별도 단계이다.	파라핀은 포매 매질이다.
파라핀 생검 처리 과정에서 고정액 부피는 조직 부피의 대략 얼마가 권장되는가?	10배 이상	1배	2배	같은 양	0.1배	충분히 담가야 침투가 된다.	동량이면 부족하다.	2배도 일반적으로 부족하다.	1배와 같다.	과소량이다.
파라핀 생검 처리 과정에서 파라핀 조직 처리의 일반 순서로 옳은 것은?	탈수 → 투명 → 침투	침투 → 탈수 → 투명	염색 → 고정 → 탈수	봉입 → 박절 → 고정	투명 → 고정 → 수세	수분 제거 후 중간매질·파라핀 침투이다.	침투가 탈수보다 앞설 수 없다.	염색은 후반 단계이다.	봉입·박절 순서가 뒤집혔다.	고정은 처리 전이다.
파라핀 생검 처리 과정에서 탈수에 단계적으로 쓰는 시약은?	알코올	자일렌만	파라핀만	헤마톡실린	에오신	농도 상승 알코올로 물을 뺀다.	자일렌은 투명 이웃이다.	파라핀은 침투 이웃이다.	헤마톡실린은 핵 염색 이웃이다.	에오신은 세포질 염색 이웃이다.
파라핀 생검 처리 과정에서 투명(clearing)에 흔히 쓰는 시약은?	자일렌	증류수	10% 포르말린	헤마톡실린	에오신	알코올과 파라핀을 매개하는 투명제이다.	물은 탈수 반대이다.	포르말린은 고정 이웃이다.	헤마톡실린은 염색 이웃이다.	에오신은 염색 이웃이다.
파라핀 생검 처리 과정에서 일반 광학 파라핀 절편 두께로 가장 적절한 것은?	4–5 μm	1 mm	50 μm	100 μm	1 cm	광학용은 수 μm이다.	육안 절편 두께 이웃이다.	두꺼운 절편 이웃이다.	 Vibratome급 이웃이다.	육안 블록 수준이다.
H&E에서 핵을 청색~자색으로 물들이는 것은?	헤마톡실린	에오신	자일렌	알코올	파라핀	염기성 헤마톡실린이 핵산과 결합한다.	에오신은 산성 세포질 염료 이웃이다.	자일렌은 투명·탈파라핀 이웃이다.	알코올은 탈수·분화 이웃이다.	파라핀은 포매 이웃이다.
H&E에서 세포질을 분홍~적색으로 물들이는 것은?	에오신	헤마톡실린	자일렌	포르말린	파라핀	에오신은 산성 염료이다.	헤마톡실린은 핵 이웃이다.	자일렌은 용매 이웃이다.	포르말린은 고정 이웃이다.	파라핀은 포매 이웃이다.
파라핀 생검 처리 과정에서 PAS 염색이 주로 증명하는 것은?	글리코겐·당질	철	칼슘	핵산만	지질만	과요오드산-Schiff는 당질이다.	철은 Prussian blue 이웃이다.	칼슘은 von Kossa 이웃이다.	핵산은 Feulgen 이웃이다.	지질은 Oil red 이웃이다.
파라핀 생검 처리 과정에서 PAS 양성 물질이 글리코겐인지 확인하려면 함께 쓰는 것은?	디아스타제 소화	Berlin blue	콩고레드	오일레드 O	그람 염색	소화 후 소실되면 글리코겐이다.	철염색 이웃이다.	아밀로이드 염색 이웃이다.	지질 염색 이웃이다.	세균 염색 이웃이다.
Masson trichrome에서 교원섬유 색으로 옳은 것은?	파랑 또는 초록	핵과 같은 흑색만	에오신	글리코겐·당질	디아스타제 소화	교원은 청/녹색, 근육은 빨강으로 배운다.	은염색 핵 이미지와 혼동.	에오신은(는) 같은 단원의 이웃 개념이다.	글리코겐·당질은(는) 같은 단원의 이웃 개념이다.	디아스타제 소화은(는) 같은 단원의 이웃 개념이다.
파라핀 생검 처리 과정에서 조직 내 철(혈철소) 염색으로 쓰는 것은?	Berlin blue(Prussian blue)	PAS	콩고레드	H&E만	Gram	철은 푸른색으로 증명한다.	당질 염색 이웃이다.	아밀로이드 이웃이다.	기본 염색이다.	세균 염색 이웃이다.
파라핀 생검 처리 과정에서 아밀로이드 염색과 전형 판독으로 옳은 것은?	Congo red 후 편광에서 사과녹색 복굴절	Wright 후 편광 없음	Gram 후 형광만	AFB 후 청색 배경만	Oil red 후 수성 봉입만	Congo red+편광이 전형이다.	혈액 염색 이웃이다.	세균 염색 이웃이다.	항산 염색 이웃이다.	지질 염색 이웃이다.
조직에서 항산균을 보는 염색은?	Ziehl-Neelsen(AFB)	H&E	PAS	Masson	Wright	항산염색으로 적색 간균을 본다.	기본 형태 염색이다.	당질 염색이다.	교원 염색이다.	혈액 염색이다.
파라핀 생검 처리 과정에서 진균 세포벽에 유용한 은염색은?	GMS(Gomori methenamine silver)	Berlin blue	von Kossa	Wright	Masson만	GMS가 진균 벽에 침착한다.	철염색 이웃이다.	칼슘 염색 이웃이다.	혈액 염색 이웃이다.	교원 염색 이웃이다.
파라핀 생검 처리 과정에서 뼈 생검 박절 전에 흔히 필요한 과정은?	탈칼슘	수혈	Congo red 후 편광에서 사과녹색 복굴절	ECG	Ziehl-Neelsen(AFB)	경조직은 탈칼슘 후 자른다.	혈액은행 이웃이다.	Congo red 후 편광에서 사과녹색 복굴절은(는) 같은 단원의 이웃 개념이다.	생리 검사 이웃이다.	Ziehl-Neelsen(AFB)은(는) 같은 단원의 이웃 개념이다.
