그람 염색에서 크리스탈바이올렛 다음 단계의 요오드 역할은?	매염	1차 염색만	탈색만	대비염색만	수세만	크리스탈바이올렛을 고정한다.	1차는 크리스탈바이올렛이다.	탈색은 알코올이다.	대비는 사프라닌이다.	수세는 중간 단계이다.
탈색 후에도 보라를 유지하는 그람양성의 주된 이유는?	두꺼운 펩티도글리칸이 탈색에 저항해서	외막만 있어서	지질다당만 있어서	핵만 있어서	편모만 있어서	탈색 저항이다.	외막은 그람음성 이웃이다.	LPS는 그람음성 이웃이다.	핵과 무관하다.	편모와 무관하다.
그람 염색 탈색 후 사프라닌 대비에서 그람음성 색은?	분홍(사프라닌)	보라	파랑	초록	검정	탈색 후 대비이다.	그람양성 색이다.	항산 배경에 가깝다.	특수 염색이다.	은염색이다.
Ziehl-Neelsen 과정에서 탈색에 쓰는 시약은?	산성알코올	물만	생리식염수	헤마톡실린	에오신	AFB이다.	물만으로는 부족하다.	등장액이다.	핵 염료이다.	세포질 염료이다.
객담 항산염색 양성일 때 우선 의심하는 균으로 가장 적절한 것은?	결핵균	포도상구균	대장균	연쇄상구균	폐렴구균	Mycobacterium이다.	그람양성 구균이다.	그람음성 간균이다.	그람양성 사슬이다.	그람양성 쌍구이다.
다음 소견에 가장 가까운 균은?||- 그람양성 구균||- 포도송이||- 카탈라제 양성	포도상구균	연쇄상구균	폐렴구균	장구균	임균	Staphylococcus이다.	사슬·카탈라제− 이웃이다.	쌍구·협막 이웃이다.	사슬/쌍·카탈라제− 이웃이다.	그람음성 쌍구 이웃이다.
임상미생물 동정·감수성 과정에서 연쇄상구균의 형태로 옳은 것은?	사슬알균	포도알만	막대만	나선만	항산만	Streptococcus이다.	포도상 이웃이다.	간균 이웃이다.	스피로헤타 이웃이다.	항산 이웃이다.
임상미생물 동정·감수성 과정에서 대장균의 그람 형태는?	음성 막대	양성 알균	양성 막대	항산	나선	E. coli이다.	구균 이웃이다.	G+ 간균 이웃이다.	항산 이웃이다.	스피로헤타 이웃이다.
임상미생물 동정·감수성 과정에서 폐렴구균의 특징으로 옳은 것은?	양성 쌍알·협막	음성 막대만	항산만	나선만	진균만	S. pneumoniae이다.	장내세균 이웃이다.	항산 이웃이다.	스피로헤타 이웃이다.	진균 이웃이다.
임상미생물 동정·감수성 과정에서 임균의 그람·형태는?	음성 쌍알	양성 포도	양성 막대	항산	나선	Neisseria이다.	포도상 이웃이다.	G+ 간균 이웃이다.	항산 이웃이다.	스피로헤타 이웃이다.
발열 환자에서 혈액배양을 하는 목적으로 옳은 것은?	균혈증을 검출한다	음성 막대	나트륨을 본다	칼륨을 본다	심전도를 본다	패혈 평가이다.	음성 막대은(는) 같은 단원의 이웃 개념이다.	전해질이다.	전해질이다.	생리이다.
혈액배양 채취 시 오염을 줄이는 방법으로 가장 적절한 것은?	피부소독과 채혈 술기를 지킨다	소독을 생략한다	뚜껑만 닦는다	라벨을 생략한다	공기를 많이 넣는다	무균이다.	오염이 는다.	불충분하다.	식별이 필수이다.	호기/혐기 병은 정해진 대로.
장내세균을 MacConkey에 키웠을 때 분홍 집락이 의미하는 것은?	유당 발효 양성	그람양성만	진균만	바이러스만	기생충만	선택·분별이다.	그람양성은 억제되는 경우가 많다.	진균 배지가 아니다.	바이러스는 안 자란다.	원충이 아니다.
장내세균을 MacConkey에 키웠을 때 무색 집락이면?	유당 비발효 가능	반드시 그람양성	반드시 진균	반드시 정상	반드시 오염	LF−이다.	G−도 무색일 수 있다.	세균일 수 있다.	해석이 필요하다.	동정이 필요하다.
혈액한천에서 집락 주위가 완전히 맑으면 용혈 판정은?	β용혈	α용혈	γ용혈	유당 발효	항산성	완전용혈이다.	녹색 불완전 이웃이다.	비용혈 이웃이다.	MacConkey 이웃이다.	AFB 이웃이다.
혈액한천에서 녹색 불완전 용혈을 부르는 이름은?	녹색 불완전 용혈	완전 투명	용혈 없음	분홍 집락	금속광택만	S. pneumoniae 등이다.	β 이웃이다.	γ 이웃이다.	MacConkey 이웃이다.	EMB 이웃이다.
혈액한천에서 완전 투명 용혈을 보이는 대표 균은?	화농연쇄상구균	유당 비발효 가능	β용혈	녹색 불완전 용혈	포도상구균	완전용혈이다.	유당 비발효 가능은(는) 같은 단원의 이웃 개념이다.	β용혈은(는) 같은 단원의 이웃 개념이다.	녹색 불완전 용혈은(는) 같은 단원의 이웃 개념이다.	포도상구균은(는) 같은 단원의 이웃 개념이다.
그람양성 구균에 H2O2를 떨어뜨려 거품이 날 때 우선 가까운 균은?	포도상구균	연쇄상구균	폐렴구균	모든 연쇄	장구균(전형적 음성)	H2O2 거품이다.	카탈라제− 이웃이다.	카탈라제− 이웃이다.	연쇄는 −이다.	장구균은 −이다.
혈장 응고시험이 양성이면 대표 균은?	황색포도상구균	표피포도상만	대장균	녹농균	결핵균	S. aureus이다.	CNS 이웃이다.	장내세균 이웃이다.	비발효 이웃이다.	항산 이웃이다.
시약이 수초 내 보라로 변하는 산화효소 양성의 예 균은?	녹농균	대장균	황색포도상	화농연쇄	폐렴구균	Oxidase이다.	장내세균은 대개 −이다.	그람양성이다.	그람양성이다.	그람양성이다.
임상미생물 동정·감수성 과정에서 녹농균의 특징으로 옳은 것은?	녹색색소·산화효소+	그람양성알	항산	협막쌍알만	사슬알만	P. aeruginosa이다.	구균이 아니다.	항산이 아니다.	폐렴구균 이웃이다.	연쇄 이웃이다.
고열·상대적 서맥 의심 환자의 혈액배양에서 장티푸스 원인균으로 옳은 것은?	Salmonella Typhi	황색포도상	화농연쇄	폐렴구균	임균	살모넬라이다.	피부 구균이다.	인두 연쇄이다.	폐 쌍구이다.	임균이다.
혈성 설사의 대변배양에서 이질 원인균으로 옳은 것은?	Shigella	황색포도상	연쇄상	폐렴구균	임균	이질이다.	구균이다.	구균이다.	구균이다.	쌍구이다.
수양성 설사 유행 시 TCBS에서 의심하는 콜레라 원인균은?	Vibrio cholerae	대장균만	결핵균	칸디다	아스페르길루스	비브리오이다.	장내세균 이웃이다.	항산 이웃이다.	효모 이웃이다.	사상균 이웃이다.
위생검 우레아제 양성과 연관된 균으로 가장 적절한 것은?	위염·궤양과 관련	Salmonella Typhi	Shigella	Vibrio cholerae	혐기성 그람양성막대	H. pylori이다.	Salmonella Typhi은(는) 같은 단원의 이웃 개념이다.	Shigella은(는) 같은 단원의 이웃 개념이다.	Vibrio cholerae은(는) 같은 단원의 이웃 개념이다.	혐기성 그람양성막대은(는) 같은 단원의 이웃 개념이다.
임상미생물 동정·감수성 과정에서 클로스트리디움의 특징으로 옳은 것은?	혐기성 그람양성막대	Shigella	Vibrio cholerae	위염·궤양과 관련	그람양성막대	아포이다.	Shigella은(는) 같은 단원의 이웃 개념이다.	Vibrio cholerae은(는) 같은 단원의 이웃 개념이다.	위염·궤양과 관련은(는) 같은 단원의 이웃 개념이다.	그람양성막대은(는) 같은 단원의 이웃 개념이다.
인후 위막 의심 도말에서 디프테리아 원인균으로 옳은 것은?	그람양성막대	그람음성알	항산	나선	진균	Corynebacterium이다.	구균이 아니다.	항산이 아니다.	스피로헤타가 아니다.	세균이다.
성기 궤양 의심 시 매독 원인 스피로헤타로 옳은 것은?	Treponema	황색포도상	대장균	결핵균	칸디다	스피로헤타이다.	구균이다.	장내세균이다.	항산이다.	효모이다.
KOH 도말에서 진균을 구분하는 기본 형태로 옳은 것은?	효모·사상균	그람양성알만	항산만	나선만	바이러스만	곰팡이이다.	세균 형태이다.	항산이다.	스피로헤타이다.	바이러스는 다른 계이다.
구강·질 도말에서 출아 효모가 보일 때 가장 가까운 진균은?	효모균	항산균	그람음성막대만	바이러스	기생충만	Candida이다.	항산이 아니다.	세균만은 아니다.	진균이다.	원충이 아니다.
면역저하 환자 객담에서 분기 균사가 보일 때 가장 가까운 진균은?	사상균	효모만	세균만	바이러스만	원충만	Aspergillus이다.	효모와 구별한다.	진균이다.	바이러스가 아니다.	원충이 아니다.
임상미생물 동정·감수성 과정에서 바이러스 배양이 어려운 이유는?	살아 있는 세포가 필요해서	한천만으로 충분해서	그람만으로 충분해서	항산만으로 충분해서	효모·사상균	세포배양이다.	세균 배지와 다르다.	염색으로 안 자란다.	항산으로 안 자란다.	효모·사상균은(는) 같은 단원의 이웃 개념이다.
임상미생물 동정·감수성 과정에서 항생제감수성시험의 목적은?	치료약 선택을 돕는다	혈액형을 본다	교차를 본다	조직을 본다	심전도를 본다	AST이다.	수혈이다.	혈액은행이다.	병리이다.	생리이다.
디스크확산법에서 보는 것은?	억제대	사상균	나트륨	칼륨	Hb	감수성이다.	사상균은(는) 같은 단원의 이웃 개념이다.	전해질이다.	전해질이다.	혈액이다.
항생제감수성시험에서 MIC가 의미하는 것으로 옳은 것은?	최소억제농도	최대균수	살아 있는 세포가 필요해서	최대나트륨	최소헤모글로빈	감수성 지표이다.	집락수가 아니다.	살아 있는 세포가 필요해서은(는) 같은 단원의 이웃 개념이다.	전해질이 아니다.	혈구가 아니다.
황색포도상구균 동정 후 oxacillin/cefoxitin 내성으로 보고하는 의미는?	메티실린내성 황색포도상	모든 포도상	대장균	결핵균	칸디다	내성균이다.	CNS와 구별한다.	장내세균이 아니다.	항산이 아니다.	진균이 아니다.
장구균에서 반코마이신 내성으로 보고하는 의미는?	반코마이신내성 장구균	모든 연쇄	대장균	녹농균	임균	내성이다.	연쇄와 구별한다.	장내세균이 아니다.	비발효가 아니다.	나이세리아가 아니다.
임상미생물 동정·감수성 과정에서 ESBL이 문제인 이유는?	여러 β락탐에 내성을 보여서	최소억제농도	메티실린내성 황색포도상	반코마이신내성 장구균	전파를 차단하려고	장내세균이다.	최소억제농도은(는) 같은 단원의 이웃 개념이다.	메티실린내성 황색포도상은(는) 같은 단원의 이웃 개념이다.	반코마이신내성 장구균은(는) 같은 단원의 이웃 개념이다.	전파를 차단하려고은(는) 같은 단원의 이웃 개념이다.
임상미생물 동정·감수성 과정에서 손위생이 중요한 이유는?	전파를 차단하려고	미관만	향기만	속도만	비용만	감염관리이다.	미관이 아니다.	향이 아니다.	속도만이 아니다.	비용만이 아니다.
임상미생물 동정·감수성 과정에서 표준주의의 기본은?	모든 혈액을 위험으로 본다	건강한 사람만 위험하다	소아만이다	노인만이다	수술환자만이다	Standard이다.	외양으로 제외하지 않는다.	전 연령이다.	전 연령이다.	전 환자에게 기본이다.
임상미생물 동정·감수성 과정에서 생물안전캐비닛의 목적은?	에어로졸로부터 보호한다	채혈한다	원심만 한다	염색만 한다	박절만 한다	BSC이다.	채혈대가 아니다.	원심기가 아니다.	염색대가 아니다.	마이크로톰이 아니다.
임상미생물 동정·감수성 과정에서 sharps 폐기는?	전용용기·재캡 금지	일반쓰레기	주머니	재사용	바닥	안전이다.	자상 위험이다.	자상 위험이다.	재사용 금지이다.	방치 금지이다.
검체 채취 전 중요한 것은?	올바른 부위와 무균	아무 부위	소독 생략	라벨 생략	시간 무시	적절성이다.	부위가 중요하다.	소독이 필요하다.	식별이 필수이다.	시간이 중요하다.
