다음 중 해부학적 바른 자세에 대한 설명으로 옳은 것은?	직립하고 손바닥이 전방을 향한다	복와위로 엎드린다	손등이 전방을 향한다	측와위로 눕는다	좌위에서만 정의한다	해부학 자세는 직립·전방주시·손바닥 전방이다.	복와위는 체위 이웃이다.	손등 전방은 자세 정의의 한 칸 오류이다.	측와위는 체위 이웃이다.	좌위만의 정의가 아니다.
시상면(sagittal plane)에 대한 설명으로 옳은 것은?	좌우로 나눈다	위아래만 나눈다	앞뒤만 나눈다	피부층만 나눈다	관상면과 같다	시상면은 좌우 분할이다.	위아래는 횡단면의 이웃이다.	앞뒤는 관상면의 이웃이다.	피부층은 면의 정의가 아니다.	관상면은 다른 면이다.
관상면(coronal plane)에 대한 설명으로 옳은 것은?	앞뒤로 나눈다	좌우로 나눈다	위아래로만 나눈다	시상면과 같다	횡단면과 같다	관상면은 전후 분할이다.	좌우는 시상면의 이웃이다.	위아래는 횡단면의 이웃이다.	시상면과 다르다.	횡단면과 다르다.
항상성 유지에서 음성피드백의 예로 가장 적절한 것은?	체온이 오르면 발한으로 열을 뺀다	분만 시 옥시토신이 수축을 더 키운다	혈액 응고 연쇄가 증폭된다	활동전위가 문턱을 넘으면 폭발한다	젖 분비가 빨림으로 더 늘는다	반대 방향으로 보정하는 것이 음성피드백이다.	분만 옥시토신은 양성피드백 이웃이다.	응고 증폭은 양성 연쇄 이웃이다.	활동전위는 양성 재생 이웃이다.	젖분비 반사도 양성 이웃으로 배운다.
항상성(homeostasis)의 설명으로 옳은 것은?	내부 환경을 비교적 일정하게 유지한다	외부 환경이 변하지 않는 것이다	체온만 의미한다	혈압만 의미한다	성장만 의미한다	온도·pH·전해질 등을 조절한다.	외부는 변할 수 있다.	체온만이 아니다.	혈압만이 아니다.	성장만이 아니다.
조직학에서 인체 조직의 네 가지 기본형으로 옳은 것은?	상피·결합·근육·신경	뼈·이·털·손톱	혈액만	피부만	호르몬만	네 기본 조직이다.	부속 구조의 나열이다.	혈액은 결합조직의 일종으로 보지만 네 가지 전체가 아니다.	피부는 기관이다.	호르몬은 화학물질이다.
정상 성인 해부·생리에서 인체의 구조 계층을 작은 것부터 바르게 나열한 것은?	세포-조직-기관-기관계	기관-세포-조직-기관계	기관계-기관-세포-조직	조직-기관계-세포-기관	세포-기관-조직-기관계	세포가 모여 조직, 조직이 기관, 기관이 기관계이다.	기관이 세포보다 앞설 수 없다.	기관계가 세포보다 작지 않다.	순서가 한 칸 뒤섞였다.	조직과 기관의 순서가 뒤집혔다.
정상 심박이 만들어질 때 심장 전도계의 순서로 옳은 것은?	동방결절-방실결절-히스다발-푸르키네	방실결절-동방결절-푸르키네-히스다발	히스다발-동방결절-방실결절-푸르키네	푸르키네-방실결절-동방결절-히스다발	동방결절-히스다발-방실결절-푸르키네	SA→AV→His→Purkinje가 정상 순서이다.	SA와 AV가 뒤집힌 이웃 오류이다.	His가 시작일 수 없다.	말단에서 시작할 수 없다.	AV와 His 순서가 한 칸 뒤집혔다.
다음 소견에 가장 가까운 판막은?||- 좌심방과 좌심실 사이||- 이첨(두 첨판)||- 수축기 역류 시 좌심방 용적 부하	승모판(이첨판)	삼첨판	대동맥판	폐동맥판	발살바동	좌방실 이첨은 승모판이다.	삼첨판은 우방실 이웃이다.	대동맥판은 좌심실 유출 이웃이다.	폐동맥판은 우심실 유출 이웃이다.	발살바동은 대동맥근 구조 이웃이다.
체순환 정맥혈이 우심실로 넘어갈 때 거치는 판막은?	삼첨판	승모판	대동맥판	폐동맥판	난원와	우방실 판막은 삼첨판이다.	승모판은 좌방실 이웃이다.	대동맥판은 좌유출 이웃이다.	폐동맥판은 우유출 이웃이다.	난원와는 중격 흔적 이웃이다.
